"","dept_e","IndegenousStatus","Yes","No","Notsure","anscount","Q116","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Use of official languages","Work-life balance and workload","Work-related stress","Support to resolve pay or other compensation issues"
"37","Public Prosecution Service of Canada","Indigenous",22,42,37,27,"1",65.75,82.4444444444444,49.3333333333333,36.6666666666667,62.1666666666667,32.6666666666667,73.8571428571429,64,57.75,39,57.3333333333333,34.125,83,29.7777777777778,25,64,68.6666666666667,65,77,65.75,17.5185185185185,NA
"38","Public Safety Canada","Indigenous",52,15,33,33,"1",73,80.2727272727273,76.3333333333333,63.5,77.5,34.3333333333333,72.4285714285714,77.25,66.5,66,83.6666666666667,40.125,86,42,37.6666666666667,72,81,65,84,61.5,16.8518518518519,24.5
"39","Public Service","Indigenous",24,40,36,7584,"1",69.6,73.8181818181818,56.25,18.1632653061224,74.3333333333333,53.1666666666667,72.7142857142857,67.25,61.5,25.375,75,36.75,75,34.3333333333333,33.3333333333333,69.6666666666667,77,61,78,64.5,17.1481481481481,27.5
"40","Public Service Commission of Canada","Indigenous",22,47,31,21,"1",85.25,76.5555555555556,78.6666666666667,75,85.3333333333333,40.6666666666667,79.5714285714286,80,68.75,74.5,92,37.5,83.5,27.7777777777778,30,81.6666666666667,86.3333333333333,61.75,92.5,70.5,12.2222222222222,NA
"41","Public Services and Procurement Canada","Indigenous",28,37,35,310,"1",77.2,80.8181818181818,57.25,30.0588235294118,79,55.5,77.1428571428571,72.75,66,37.7391304347826,82,38.25,80,32.2222222222222,32.6666666666667,75.6666666666667,83.6666666666667,68.5,87,67,14.9259259259259,32.5
"42","Royal Canadian Mounted Police","Indigenous",21,41,38,256,"1",70,73.8181818181818,55.25,26.1875,72.1666666666667,51.6666666666667,77,71.5,59.5,34.5217391304348,74.3333333333333,34.625,77.5,28.6666666666667,34.6666666666667,72,77.6666666666667,62.25,67.5,63.25,14.1111111111111,27
"43","Shared Services Canada","Indigenous",33,31,36,127,"1",73.4,79.8181818181818,79.6666666666667,29.2307692307692,76.5,57,66.1428571428571,64.75,66.25,48.1578947368421,78.3333333333333,37.375,69,39.1111111111111,34,67,82,59.75,85.5,63,15.4814814814815,22
"44","Statistical Survey Operations","Indigenous",8,45,47,41,"1",68,75.6666666666667,72.6666666666667,72.5,71.6666666666667,32.3333333333333,69.7142857142857,51.75,65,71.5,59.3333333333333,33,78.5,22,15.5,60,81.3333333333333,64,90.5,56.5,14.1481481481481,NA
"45","Statistics Canada","Indigenous",32,35,33,84,"1",75.8,83.2727272727273,82.3333333333333,47.3333333333333,85.6666666666667,50.3333333333333,78.8571428571429,79.25,75.5,47.3333333333333,84.3333333333333,39.25,84.5,29.1111111111111,9,80.3333333333333,74,75,91,74.5,11.2222222222222,NA
"46","Transport Canada","Indigenous",19,47,34,147,"1",75.6,82,81.6666666666667,18.5666666666667,81.3333333333333,47,78.1428571428571,78,67,36.4761904761905,83,38.625,79,28.6666666666667,40,75.6666666666667,86.3333333333333,68.5,85.5,71.5,14.2222222222222,22
"47","Treasury Board of Canada Secretariat","Indigenous",33,29,38,46,"1",77.2,75.3636363636364,83.3333333333333,74,86.5,39,82.7142857142857,73,72,50,86,36.75,85.5,38,31,76.6666666666667,80,77,86.5,68,14.962962962963,21
"48","Veterans Affairs Canada","Indigenous",26,33,41,97,"1",76.2,81.1818181818182,80.3333333333333,48.6666666666667,81,52.5,75,68,71.5,41.25,79.6666666666667,37.625,85,33.4444444444444,30.3333333333333,73.6666666666667,85,72.25,88.5,63,17.3703703703704,31
"49","Western Economic Diversification Canada","Indigenous",23,50,27,18,"1",89,93.8888888888889,86.3333333333333,50,94.1666666666667,31.3333333333333,92,95.5,88,72,94.3333333333333,45.75,94,26.6666666666667,27.5,87,92.6666666666667,92,71.5,73.75,11.4074074074074,NA
